Timestamp;mf_speed1;mf_speed2
0;0.000000E+000;0.000000E+000
1092;0.000000E+000;0.000000E+000
2106;0.000000E+000;0.000000E+000
3097;0.000000E+000;0.000000E+000
4108;0.000000E+000;0.000000E+000
5092;0.000000E+000;0.000000E+000
6103;0.000000E+000;0.000000E+000
7094;0.000000E+000;0.000000E+000
8106;0.000000E+000;0.000000E+000
9097;0.000000E+000;0.000000E+000
10108;0.000000E+000;0.000000E+000
11091;0.000000E+000;0.000000E+000
12105;0.000000E+000;0.000000E+000
13097;0.000000E+000;0.000000E+000
14108;0.000000E+000;0.000000E+000
15091;0.000000E+000;0.000000E+000
16103;0.000000E+000;0.000000E+000
17094;0.000000E+000;0.000000E+000
18105;0.000000E+000;0.000000E+000
19096;0.000000E+000;0.000000E+000
20108;0.000000E+000;0.000000E+000
21091;0.000000E+000;0.000000E+000
22105;0.000000E+000;0.000000E+000
23116;0.000000E+000;0.000000E+000
24104;0.000000E+000;0.000000E+000
25095;0.000000E+000;0.000000E+000
26107;0.000000E+000;0.000000E+000
27091;0.000000E+000;0.000000E+000
28104;0.000000E+000;0.000000E+000
29095;0.000000E+000;0.000000E+000
30108;0.000000E+000;0.000000E+000
31092;0.000000E+000;0.000000E+000
32107;0.000000E+000;0.000000E+000
33091;0.000000E+000;0.000000E+000
34103;0.000000E+000;0.000000E+000
35095;0.000000E+000;0.000000E+000
36107;0.000000E+000;0.000000E+000
37091;0.000000E+000;0.000000E+000
38103;0.000000E+000;0.000000E+000
39095;0.000000E+000;0.000000E+000
40108;0.000000E+000;0.000000E+000
41091;0.000000E+000;0.000000E+000
42106;0.000000E+000;0.000000E+000
43090;0.000000E+000;0.000000E+000
44103;0.000000E+000;0.000000E+000
45094;0.000000E+000;0.000000E+000
46107;0.000000E+000;0.000000E+000
47091;0.000000E+000;0.000000E+000
48103;0.000000E+000;0.000000E+000
49095;0.000000E+000;0.000000E+000
50105;0.000000E+000;0.000000E+000
